package,old,new,delta
monoClust,1.2.0,1.2.1,*
assertthat,0.2.1,0.2.1,
brio,1.1.1,1.1.1,
callr,3.5.1,3.5.1,
cli,2.3.0,2.3.0,
colorspace,2.0-0,2.0-0,
cpp11,0.2.6,0.2.6,
crayon,1.4.1,1.4.1,
desc,1.2.0,1.2.0,
diffobj,0.3.3,0.3.3,
digest,0.6.27,0.6.27,
doParallel,1.0.16,1.0.16,
dplyr,1.0.4,1.0.4,
ellipsis,0.3.1,0.3.1,
evaluate,0.14,0.14,
fansi,0.4.2,0.4.2,
farver,2.0.3,2.0.3,
foreach,1.5.1,1.5.1,
generics,0.1.0,0.1.0,
ggplot2,3.3.3,3.3.3,
glue,1.4.2,1.4.2,
gtable,0.3.0,0.3.0,
isoband,0.2.3,0.2.3,
iterators,1.0.13,1.0.13,
jsonlite,1.7.2,1.7.2,
labeling,0.4.2,0.4.2,
lifecycle,0.2.0,0.2.0,
magrittr,2.0.1,2.0.1,
munsell,0.5.0,0.5.0,
permute,0.9-5,0.9-5,
pillar,1.4.7,1.4.7,
pkgbuild,1.2.0,1.2.0,
pkgconfig,2.0.3,2.0.3,
pkgload,1.1.0,1.1.0,
praise,1.0.0,1.0.0,
prettyunits,1.1.1,1.1.1,
processx,3.4.5,3.4.5,
ps,1.5.0,1.5.0,
purrr,0.3.4,0.3.4,
R6,2.5.0,2.5.0,
RColorBrewer,1.1-2,1.1-2,
rematch2,2.1.2,2.1.2,
rlang,0.4.10,0.4.10,
rprojroot,2.0.2,2.0.2,
rstudioapi,0.13,0.13,
scales,1.1.1,1.1.1,
stringi,1.5.3,1.5.3,
stringr,1.4.0,1.4.0,
testthat,3.0.1,3.0.1,
tibble,3.0.6,3.0.6,
tidyr,1.1.2,1.1.2,
tidyselect,1.1.0,1.1.0,
utf8,1.1.4,1.1.4,
vctrs,0.3.6,0.3.6,
viridisLite,0.3.0,0.3.0,
waldo,0.2.4,0.2.4,
withr,2.4.1,2.4.1,
